,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys,Xs_m,Ys_m
137,76.542,401.11,107.82,272.24535694101394,553.1046657731247,272.11417862199926,551.7619691126831,-151.57,129.49,-163.77170192163737,128.67324860850698
138,77.048,401.8,108.0,272.1667863439135,554.6365643374046,272.19420743570834,544.0622458193013,-152.44,128.97,-155.16963150826092,129.34022284290012
139,77.556,402.49,108.17,272.0896782196435,556.1698646996257,272.10451873647276,575.348801180794,-153.31,128.45,-186.54303669035312,129.81537870916563
140,78.062,403.18,108.34,272.0120035737925,557.6938218234088,271.67177782281834,564.7130416366819,-154.17000000000002,127.92,-175.10828247749185,125.21810137058705
141,78.57,403.86,108.51,271.9470401406037,559.2228625512373,271.9454401664717,560.5327780469198,-155.04000000000002,127.51,-170.0609633473647,128.00459773225293
142,79.077,404.55,108.68,271.85993090448255,560.7554293985927,271.9374631141799,561.0077391523988,-155.91,126.88,-169.85997966431643,128.1111437430775
143,79.585,405.24,108.85,271.7952273255705,562.1259063590647,271.9104490957335,564.6435930539641,-156.61,126.46,-172.90184917755232,128.1344934680631
144,80.092,405.93,109.03,271.71914034598547,563.6637084290597,271.5318872581603,582.8459852324094,-157.48000000000002,125.94,-190.96788017745376,124.99274988195694
145,80.6,406.62,109.2,271.6434675343961,565.2024991098323,271.6144447249464,565.5228374682837,-158.35,125.41,-172.51416851481918,125.52280138194463
146,81.007,407.31,109.37,271.5692163681169,566.7425441062281,271.6255309240549,566.685469991205,-159.22,124.89,-173.0116082842132,125.83864581021653
147,81.516,408.0,109.54,271.49536776618487,568.2835357460218,271.30938624599213,571.8261551979,-160.09,124.37,-177.66877338380004,122.92667827417607
148,82.325,409.38,109.88,271.40313150508337,570.5110660627013,271.3604475954974,570.0485716864339,-160.95999999999998,123.85,-174.45603377537327,123.74537783073261
149,82.528,409.38,109.88,271.3478636918503,571.3680930013506,271.45517804127616,570.1960105325286,-161.82999999999998,123.32,-174.5833101005511,124.71448435997208
150,83.037,409.93,110.02,271.2785193285147,572.7725947529264,271.21898611727545,572.6095553073918,-162.7,122.8,-176.56155802016104,122.49967931429387
151,83.545,409.93,110.02,271.2246543691373,573.6310291467853,271.2484288479974,567.1974364927596,-163.57,122.28,-171.0118019865052,122.68025718241826
152,84.357,412.0,110.54,271.11408774433727,576.5489898525536,271.0545310336482,564.6331037199586,-164.44,121.75,-166.3546690499287,121.1858421132829
153,84.561,412.0,110.54,271.0608198272059,577.4089644264279,271.2414554391079,572.8641727539488,-165.31,121.23,-174.74740688778468,123.25533052233294
154,85.068,412.69,110.71,270.98968820288053,578.9563687360214,270.9400411095574,577.9155311035319,-166.18,120.71,-179.29047388038447,120.4233841949607
155,85.575,413.38,110.88,270.9189359071389,580.5046606186725,271.0518277457352,577.3721562752974,-167.05,120.19,-178.02381567180817,121.73812666720447
156,86.083,414.07,111.05,270.8485601278038,582.0538329914167,270.8603596028407,573.9637285306807,-167.92000000000002,119.67,-173.87534236021276,119.87931428509235
157,86.591,414.76,111.23,270.7765947423019,583.603607425451,270.7995283471244,633.4479909167852,-168.79000000000002,119.14,-234.12860653013036,120.28544032902599
158,87.098,415.44,111.4,270.70698091474765,585.1445448775884,270.89419041921843,781.3097967210857,-169.66,118.62,-384.8950730550575,123.891497084203
159,87.607,416.13,111.57,270.63772200246194,586.6963409635346,270.382219181565,588.768089621972,-170.53,118.1,-187.034914834843,115.59376269188515
160,88.316,416.82,111.74,270.5787354063731,588.0799997449326,270.5679931310502,588.0063697198802,-171.23000000000002,117.68,-185.54837298227534,117.71168429299274
161,88.621,417.51,111.91,270.5101590765804,589.6333730378565,270.65311364747413,568.0763981950113,-172.1,117.16,-164.43240043184028,118.5438391718211
162,89.125,418.2,112.08,270.44097408409823,591.1875095094618,270.3228901769401,633.8191185473289,-172.97,116.63,-231.12168927274632,115.73928898191627
163,89.533,418.89,112.22,270.37601839368494,592.7427646121039,270.414835868905,587.6472088326431,-173.84,116.11,-183.12424197090013,116.57881084467991
164,90.04,418.89,112.22,270.32527746386063,593.6095660448877,270.23514885968757,609.7974985124572,-174.70999999999998,115.59,-205.82718370494013,114.7839298291002
165,90.546,420.27,112.6,270.2365474814035,595.8550781020499,270.2355220661174,622.3474717737472,-175.57999999999998,115.06,-217.30419536644035,115.22084989262468
166,91.056,420.95,112.77,270.16975767155964,597.4026221067329,270.1294114018458,588.7437033681257,-176.45,114.54,-182.2018144981319,114.13231420946347
167,91.563,421.64,112.94,270.10331136438526,598.9609736869339,269.72519149313257,626.5733322564497,-177.32,114.02,-220.2614881090567,109.86121577389427
168,92.071,422.33,113.11,270.0362559004012,600.5201202291227,269.92242078943303,600.6882671223032,-178.19,113.49,-193.05969882921937,112.27675405051549
169,92.579,422.88,113.25,269.97334814581757,601.9400651227662,269.84240451815236,599.5369872147251,-179.06,112.97,-191.32848174115747,111.56057843063742
170,93.086,423.57,113.42,269.9079090998029,603.5007795355363,269.81250033439125,605.9684088977397,-179.93,112.45,-197.22631338940647,111.38844518610011
171,93.593,424.26,113.59,269.8428077292157,605.0622771252558,269.7868366441638,605.9836753240807,-180.8,111.93,-196.5509811166977,111.28032267706577
172,94.1,424.95,113.77,269.7761526053281,606.6246296516488,268.847523115949,569.8982282375699,-181.67,111.4,-158.7785237724151,102.0269994063154
173,94.608,425.63,113.94,269.71171941097043,608.1776981277758,269.7721902577673,608.3929661002172,-182.54,110.88,-197.64860967702816,111.46181244680304
174,95.116,426.32,114.11,269.64762031691635,609.7415316345115,269.59489381464516,598.8650163487431,-183.41,110.36,-187.18705239085108,109.7721649029584
175,95.625,427.01,114.28,269.5829120137803,611.3061970894782,269.5475914723954,610.7842042872285,-184.28,109.83,-198.7037944694141,109.3392497030858
176,96.333,427.7,114.45,269.51946903534014,612.8715543243952,269.6447878179931,616.4024287657178,-185.15,109.31,-203.77689692747919,110.53503170422835
177,96.638,428.39,114.62,269.46552602602833,614.2667258610057,269.4334085473765,609.8695632687198,-185.85,108.89,-196.3757244239456,108.44156135036832
178,97.346,429.07,114.8,269.40174658000143,615.8235697015826,269.33791125056126,614.3579828568825,-186.72,108.37,-200.28252653099042,107.5271122082277
179,97.651,429.76,114.97,269.3392275628407,617.3910567055535,269.3602447191399,623.7419672870444,-187.59,107.85,-209.2083741474479,107.83508736833377
180,98.161,430.45,115.14,269.2760996675431,618.959401334207,269.22163384266713,612.2911792370577,-188.46,107.32,-196.76927698495996,106.61866914085053
181,98.568,431.14,115.31,269.2142142031481,620.5283563222555,269.21233943412557,617.5797446901289,-189.33,106.8,-201.49537887698784,106.61244255226855
182,99.074,431.83,115.48,269.15264096553346,622.0980315834474,268.7085020687878,608.112814724927,-190.2,106.28,-191.00826520242282,101.43829220056314
183,99.579,432.52,115.65,269.0913777389079,623.6684216793407,269.0543242320137,624.9370705895061,-191.07,105.76,-207.62535779744906,105.08334158893828
184,100.389,433.2,115.82,269.02949055561544,625.2296919532853,268.5972790077206,623.6577040981458,-191.94,105.23,-205.53041587564616,100.17941323744527
185,100.595,433.89,116.0,268.9679282177161,626.8016864208329,268.9956846839448,623.358106210571,-192.81,104.71,-204.62684662999254,104.80654143158482
186,101.101,434.58,116.17,268.9075856134094,628.374210164612,268.99050035070104,624.5909154711915,-193.68,104.19,-205.19861773656606,104.89651466475313
187,101.608,435.27,116.34,268.84754433944426,629.9474274096211,268.5333511661156,631.6547071492444,-194.55,103.67,-211.63261500297972,99.77706539193122
188,102.116,435.82,116.48,268.78934803634274,631.3809414291819,268.8320072708519,670.8479139103176,-195.42,103.14,-251.30428883203007,102.47081173014215
