,Time,X,Y,BAO,RAO,X_n,Y_n,BAO_n,RAO_n,X_o,Y_o
8403,4222.005,349.34,-71.03,1.5201007962343556,111.10273849010201,348.70437266410516,-69.18585912330623,1.5522871264032767,110.46711115420722,238.38,-76.66
8404,4222.411,349.13,-71.66,1.5168826698621654,110.60070162526095,349.28117038266606,-71.30500137324508,1.5230785647390972,110.751872007927,238.69,-77.62
8405,4223.019,348.9,-72.28,1.5134382539638138,110.0710143498278,348.1432690353626,-71.51422815483019,1.526803493981099,109.31428338519046,239.01,-78.59
8406,4223.527,348.65,-72.9,1.5100461466877397,109.53205649489101,349.11114422259675,-72.7928477966345,1.5119163054372342,109.9932007174878,239.32,-79.55
8407,4223.829,348.38,-73.51,1.5065171869473253,108.97505448496,349.11175751260345,-73.07512611777153,1.5141071680231424,109.70681199756342,239.63,-80.51
8408,4224.542,348.11,-74.13,1.502945758445188,108.4094465441089,346.9854580372669,-74.1985135789523,1.5017499709101452,107.28490458137577,239.95,-81.48
8409,4225.05,347.81,-74.74,1.4993236710503581,107.82528692287354,347.2269780604623,-75.72365468774416,1.4821556580465456,107.24226498333579,240.26,-82.44
8410,4225.554,347.51,-75.34,1.4954762077424901,107.24406044159275,348.0851442252112,-77.52801710903202,1.4572881050999136,107.81920466680397,240.57,-83.41
8411,4225.756,347.51,-75.34,1.4863046568347396,107.00170699572975,347.8850325756858,-75.57567506475813,1.4821913509898592,107.37673957141556,240.89,-84.37
8412,4226.57,346.87,-76.54,1.4877099177502964,106.03579065579699,348.23390269522446,-75.69706295498999,1.502421944572753,107.39969335102144,241.2,-85.34
8413,4227.077,346.53,-77.13,1.483700522442626,105.41958688972366,347.2728575076207,-76.65379664300845,1.4920118389311785,106.1624443973444,241.51,-86.3
8414,4227.481,346.26,-77.61,1.4785566620774044,104.87583372731773,344.5174565816713,-78.09789499332295,1.4700412880399232,103.13329030898906,241.83,-87.27
8415,4227.99,345.9,-78.19,1.4743348718902545,104.24461233080585,344.85422808247984,-78.08105165745872,1.4762363791821904,103.19884041328571,242.14,-88.23
8416,4228.498,345.54,-78.78,1.4701577425031422,103.61426639223002,345.8389338430099,-79.15137533152446,1.4636760202073549,103.91320023523991,242.45,-89.19
8417,4228.803,345.17,-79.36,1.4657160533785671,102.96795618055164,344.5006292588574,-79.26720198305199,1.4673356843136316,102.298585439409,242.77,-90.16
8418,4229.512,344.79,-79.94,1.4632245832502426,102.36167739930801,344.4343558236108,-80.42382344681195,1.4547802711050264,102.0060332229188,243.02,-90.93
8419,4230.022,344.41,-80.51,1.458586632136672,101.71970556386802,346.6291701497894,-80.95155115341922,1.450880110693528,103.93887571365738,243.33,-91.9
8420,4230.527,344.02,-81.09,1.4540748654456639,101.06768672528327,343.3516984480809,-81.08124888263889,1.4542276012568436,100.3993851733642,243.64,-92.86
8421,4231.037,343.62,-81.66,1.4492827601438056,100.40032121462559,343.5965528702143,-80.79609695310013,1.4643607127302192,100.37687408483988,243.96,-93.83
8422,4231.543,343.22,-82.23,1.4445387280974074,99.743952698898,345.1478101686128,-83.40850070126635,1.4239700106232476,101.67176286751076,244.27,-94.79
